Asset Name,Asset ID,Used Identifier,Reason Skipped
ABCVN02882V,26003324745,ABCVN02882V,Not found in Jira (update-only mode)
aws,26003320782,aws,Not found in Jira (update-only mode)
IRRI-H-ABOMUHAN,26003317013,PC2DDDH9,Not found in Jira (update-only mode)
V30FLX59,26003301247,V30FLX59,Not found in Jira (update-only mode)
V30FLWTR,26003301246,V30FLWTR,Not found in Jira (update-only mode)
V30FLYK9,26003301245,V30FLYK9,Not found in Jira (update-only mode)
V30FLZCF,26003301244,V30FLZCF,Not found in Jira (update-only mode)
V30FLZCK,26003301243,V30FLZCK,Not found in Jira (update-only mode)
V30FLYMX,26003301242,V30FLYMX,Not found in Jira (update-only mode)
V30FN990,26003301241,V30FN990,Not found in Jira (update-only mode)
V30FN9AV,26003301240,V30FN9AV,Not found in Jira (update-only mode)
V30FLWZK,26003301239,V30FLWZK,Not found in Jira (update-only mode)
V30G6VNA,26003301238,V30G6VNA,Not found in Jira (update-only mode)
V30FLWRH,26003301237,V30FLWRH,Not found in Jira (update-only mode)
V30FN9Z7,26003301235,V30FN9Z7,Not found in Jira (update-only mode)
V30FLZCV,26003301234,V30FLZCV,Not found in Jira (update-only mode)
V30FLWZT,26003301233,V30FLWZT,Not found in Jira (update-only mode)
V30FLWRY,26003301232,V30FLWRY,Not found in Jira (update-only mode)
V30FLYR4,26003301231,V30FLYR4,Not found in Jira (update-only mode)
V30FLZ8D,26003301230,V30FLZ8D,Not found in Jira (update-only mode)
V30FLZCW,26003301229,V30FLZCW,Not found in Jira (update-only mode)
V30FLWTA,26003301228,V30FLWTA,Not found in Jira (update-only mode)
V30FN9T0,26003301227,V30FN9T0,Not found in Jira (update-only mode)
V30FN9WA,26003301226,V30FN9WA,Not found in Jira (update-only mode)
V30FN99X,26003301225,V30FN99X,Not found in Jira (update-only mode)
V30FN99V,26003301224,V30FN99V,Not found in Jira (update-only mode)
V30FLWTG,26003301223,V30FLWTG,Not found in Jira (update-only mode)
V30FLZ88,26003301222,V30FLZ88,Not found in Jira (update-only mode)
V30FLWT5,26003301221,V30FLWT5,Not found in Jira (update-only mode)
V30FN995,26003301220,V30FN995,Not found in Jira (update-only mode)
V30FLX55,26003301219,V30FLX55,Not found in Jira (update-only mode)
V30FN9F3,26003301218,V30FN9F3,Not found in Jira (update-only mode)
V30FLZGC,26003301217,V30FLZGC,Not found in Jira (update-only mode)
V30FLWRW,26003301216,V30FLWRW,Not found in Jira (update-only mode)
V30FN98Z,26003301215,V30FN98Z,Not found in Jira (update-only mode)
V30FN9ZG,26003301214,V30FN9ZG,Not found in Jira (update-only mode)
V30FN9F8,26003301213,V30FN9F8,Not found in Jira (update-only mode)
V30FLZGF,26003301212,V30FLZGF,Not found in Jira (update-only mode)
V30FLZCH,26003301211,V30FLZCH,Not found in Jira (update-only mode)
V30FLWRL,26003301210,V30FLWRL,Not found in Jira (update-only mode)
V30FLZ86,26003301209,V30FLZ86,Not found in Jira (update-only mode)
V30FLZ8B,26003301208,V30FLZ8B,Not found in Jira (update-only mode)
V30FLWV1,26003301207,V30FLWV1,Not found in Jira (update-only mode)
V30FN9FA,26003301206,V30FN9FA,Not found in Jira (update-only mode)
V30FLZAX,26003301205,V30FLZAX,Not found in Jira (update-only mode)
V30FNA04,26003301204,V30FNA04,Not found in Jira (update-only mode)
V30FLX3V,26003301203,V30FLX3V,Not found in Jira (update-only mode)
V30FLZCR,26003301202,V30FLZCR,Not found in Jira (update-only mode)
V30FLYX7,26003301201,V30FLYX7,Not found in Jira (update-only mode)
V30FLWRM,26003301200,V30FLWRM,Not found in Jira (update-only mode)
V30FLZCP,26003301199,V30FLZCP,Not found in Jira (update-only mode)
V30FLWTK,26003301198,V30FLWTK,Not found in Jira (update-only mode)
V30G6VNC,26003301197,V30G6VNC,Not found in Jira (update-only mode)
V30FN99M,26003301196,V30FN99M,Not found in Jira (update-only mode)
V30FN9G3,26003301195,V30FN9G3,Not found in Jira (update-only mode)
V30FN9F9,26003301194,V30FN9F9,Not found in Jira (update-only mode)
V30FN9FB,26003301183,V30FN9FB,Not found in Jira (update-only mode)
V30FLZ6M,26003301182,V30FLZ6M,Not found in Jira (update-only mode)
V30FLZBA,26003301181,V30FLZBA,Not found in Jira (update-only mode)
V30FLWRP,26003301180,V30FLWRP,Not found in Jira (update-only mode)
